常规赛安排,,,,
半庄编号,东,南,西,北
1,ABENIX,LGU樱花骑士团,E发自摸,神仙湖海盗
2,E发自摸,神仙湖海盗,ABENIX,LGU樱花骑士团
3,怎么打都对,LGU樱花骑士团,翱翔于蓝天的白云,神仙湖海盗
4,怎么打都对,神仙湖海盗,LGU樱花骑士团,翱翔于蓝天的白云
5,翱翔于蓝天的白云,E发自摸,神仙湖海盗,ABENIX
6,神仙湖海盗,翱翔于蓝天的白云,ABENIX,E发自摸
7,LGU樱花骑士团,ABENIX,怎么打都对,E发自摸
8,ABENIX,怎么打都对,LGU樱花骑士团,E发自摸
9,ABENIX,翱翔于蓝天的白云,E发自摸,怎么打都对
10,翱翔于蓝天的白云,ABENIX,E发自摸,怎么打都对
11,翱翔于蓝天的白云,ABENIX,神仙湖海盗,怎么打都对
12,神仙湖海盗,翱翔于蓝天的白云,怎么打都对,ABENIX
13,E发自摸,神仙湖海盗,翱翔于蓝天的白云,LGU樱花骑士团
14,E发自摸,神仙湖海盗,LGU樱花骑士团,翱翔于蓝天的白云
15,E发自摸,LGU樱花骑士团,ABENIX,神仙湖海盗
16,LGU樱花骑士团,E发自摸,神仙湖海盗,ABENIX
17,翱翔于蓝天的白云,神仙湖海盗,LGU樱花骑士团,ABENIX
18,神仙湖海盗,翱翔于蓝天的白云,ABENIX,LGU樱花骑士团
19,LGU樱花骑士团,怎么打都对,ABENIX,E发自摸
20,LGU樱花骑士团,ABENIX,E发自摸,怎么打都对
21,怎么打都对,E发自摸,神仙湖海盗,翱翔于蓝天的白云
22,神仙湖海盗,E发自摸,怎么打都对,翱翔于蓝天的白云
23,E发自摸,怎么打都对,翱翔于蓝天的白云,LGU樱花骑士团
24,E发自摸,怎么打都对,翱翔于蓝天的白云,LGU樱花骑士团
25,翱翔于蓝天的白云,怎么打都对,LGU樱花骑士团,ABENIX
26,翱翔于蓝天的白云,LGU樱花骑士团,怎么打都对,ABENIX
27,怎么打都对,LGU樱花骑士团,翱翔于蓝天的白云,神仙湖海盗
28,神仙湖海盗,怎么打都对,LGU樱花骑士团,翱翔于蓝天的白云
29,神仙湖海盗,LGU樱花骑士团,ABENIX,怎么打都对
30,ABENIX,LGU樱花骑士团,怎么打都对,神仙湖海盗
31,LGU樱花骑士团,神仙湖海盗,E发自摸,ABENIX
32,LGU樱花骑士团,ABENIX,神仙湖海盗,E发自摸
33,翱翔于蓝天的白云,E发自摸,神仙湖海盗,怎么打都对
34,怎么打都对,翱翔于蓝天的白云,E发自摸,神仙湖海盗
35,LGU樱花骑士团,ABENIX,E发自摸,怎么打都对
36,LGU樱花骑士团,ABENIX,E发自摸,怎么打都对
37,怎么打都对,LGU樱花骑士团,E发自摸,神仙湖海盗
38,E发自摸,神仙湖海盗,怎么打都对,LGU樱花骑士团
39,ABENIX,LGU樱花骑士团,翱翔于蓝天的白云,神仙湖海盗
40,ABENIX,神仙湖海盗,LGU樱花骑士团,翱翔于蓝天的白云
41,翱翔于蓝天的白云,E发自摸,怎么打都对,ABENIX
42,E发自摸,翱翔于蓝天的白云,ABENIX,怎么打都对
43,翱翔于蓝天的白云,ABENIX,怎么打都对,E发自摸
44,ABENIX,怎么打都对,翱翔于蓝天的白云,E发自摸
45,怎么打都对,翱翔于蓝天的白云,ABENIX,神仙湖海盗
46,怎么打都对,神仙湖海盗,翱翔于蓝天的白云,ABENIX
47,LGU樱花骑士团,翱翔于蓝天的白云,神仙湖海盗,E发自摸
48,神仙湖海盗,E发自摸,翱翔于蓝天的白云,LGU樱花骑士团
49,神仙湖海盗,怎么打都对,LGU樱花骑士团,E发自摸
50,神仙湖海盗,E发自摸,怎么打都对,LGU樱花骑士团
51,怎么打都对,翱翔于蓝天的白云,ABENIX,神仙湖海盗
52,ABENIX,怎么打都对,神仙湖海盗,翱翔于蓝天的白云
53,ABENIX,E发自摸,翱翔于蓝天的白云,LGU樱花骑士团
54,E发自摸,ABENIX,LGU樱花骑士团,翱翔于蓝天的白云
